freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.058e+04,1.143e+02,2.080e+02,1.090e+04
1.2,5.147e+04,6.370e+02,1.234e+03,5.334e+04
2.5,6.308e+04,7.474e+02,1.621e+03,6.545e+04
3.7,7.016e+04,8.292e+02,1.979e+03,7.296e+04
5.0,7.229e+04,8.417e+02,1.701e+03,7.483e+04
6.2,6.975e+04,8.046e+02,1.879e+03,7.244e+04
7.5,7.288e+04,9.080e+02,2.069e+03,7.585e+04
8.7,7.824e+04,8.543e+02,2.289e+03,8.138e+04
10.0,7.542e+04,9.141e+02,2.082e+03,7.841e+04
11.2,6.132e+04,8.435e+02,1.929e+03,6.409e+04
12.5,6.230e+04,8.129e+02,1.909e+03,6.503e+04
13.7,7.287e+04,8.807e+02,2.203e+03,7.595e+04
15.0,7.178e+04,8.155e+02,2.295e+03,7.489e+04
16.2,7.200e+04,8.064e+02,2.131e+03,7.493e+04
17.5,6.873e+04,8.265e+02,1.914e+03,7.147e+04
18.7,7.902e+04,9.753e+02,2.658e+03,8.266e+04
20.0,8.008e+04,1.048e+03,2.840e+03,8.397e+04
21.2,8.022e+04,8.607e+02,2.974e+03,8.406e+04
22.5,7.677e+04,8.348e+02,2.834e+03,8.044e+04
23.7,7.592e+04,1.058e+03,3.377e+03,8.035e+04
25.0,8.267e+04,1.219e+03,3.504e+03,8.739e+04
26.2,8.222e+04,1.165e+03,2.938e+03,8.632e+04
27.5,7.432e+04,1.090e+03,2.762e+03,7.817e+04
28.7,8.281e+04,9.952e+02,2.791e+03,8.660e+04
30.0,8.604e+04,1.106e+03,2.813e+03,8.996e+04
31.2,1.022e+05,1.092e+03,3.054e+03,1.063e+05
32.5,9.633e+04,1.305e+03,3.926e+03,1.016e+05
33.7,9.916e+04,1.301e+03,3.912e+03,1.044e+05
35.0,1.011e+05,1.097e+03,3.947e+03,1.061e+05
36.2,9.971e+04,1.087e+03,3.044e+03,1.038e+05
37.5,9.974e+04,1.244e+03,3.726e+03,1.047e+05
38.7,1.189e+05,1.218e+03,3.411e+03,1.235e+05
40.0,1.300e+05,1.246e+03,2.953e+03,1.342e+05
41.2,1.291e+05,1.178e+03,2.865e+03,1.332e+05
42.5,1.142e+05,1.244e+03,2.567e+03,1.180e+05
43.7,9.882e+04,1.327e+03,2.730e+03,1.029e+05
45.0,1.207e+05,1.518e+03,2.817e+03,1.250e+05
46.2,1.438e+05,1.423e+03,2.449e+03,1.477e+05
47.5,1.832e+05,1.650e+03,3.355e+03,1.882e+05
48.7,1.924e+05,1.539e+03,3.185e+03,1.972e+05
50.0,1.926e+05,1.508e+03,3.071e+03,1.972e+05
51.2,1.974e+05,1.576e+03,3.170e+03,2.022e+05
52.5,2.889e+05,1.956e+03,4.194e+03,2.950e+05
53.7,3.030e+05,2.059e+03,3.979e+03,3.090e+05
55.0,3.390e+05,2.098e+03,4.370e+03,3.455e+05
56.2,4.288e+05,1.707e+03,3.906e+03,4.345e+05
57.5,5.723e+05,1.783e+03,4.156e+03,5.783e+05
58.7,5.092e+05,1.936e+03,4.976e+03,5.161e+05
60.0,5.560e+05,1.886e+03,6.257e+03,5.642e+05
61.2,5.904e+05,1.974e+03,7.893e+03,6.003e+05
62.5,7.581e+05,1.977e+03,8.447e+03,7.685e+05
63.7,8.890e+05,1.937e+03,9.097e+03,9.001e+05
65.0,9.988e+05,2.366e+03,1.113e+04,1.012e+06
66.2,1.486e+06,2.636e+03,1.610e+04,1.505e+06
67.4,1.206e+06,2.143e+03,1.487e+04,1.223e+06
68.7,1.207e+06,2.328e+03,1.653e+04,1.226e+06
69.9,8.973e+05,2.452e+03,1.576e+04,9.155e+05
71.2,8.561e+05,2.947e+03,1.786e+04,8.769e+05
72.4,6.037e+05,2.747e+03,1.511e+04,6.216e+05
73.7,4.417e+05,2.383e+03,1.210e+04,4.562e+05
74.9,4.791e+05,2.906e+03,1.411e+04,4.961e+05
76.2,5.340e+05,3.929e+03,1.750e+04,5.554e+05
77.4,4.578e+05,3.665e+03,1.848e+04,4.800e+05
78.7,4.107e+05,4.207e+03,2.339e+04,4.383e+05
79.9,3.482e+05,4.100e+03,2.409e+04,3.763e+05
81.2,2.650e+05,3.952e+03,2.447e+04,2.934e+05
82.4,2.881e+05,4.668e+03,3.803e+04,3.308e+05
83.7,2.781e+05,5.035e+03,4.360e+04,3.268e+05
84.9,2.316e+05,4.686e+03,4.371e+04,2.800e+05
86.2,1.697e+05,3.717e+03,3.346e+04,2.069e+05
87.4,1.498e+05,3.830e+03,2.802e+04,1.816e+05
88.7,1.511e+05,4.439e+03,2.594e+04,1.815e+05
89.9,1.418e+05,4.188e+03,2.022e+04,1.662e+05
91.2,1.472e+05,3.719e+03,1.597e+04,1.669e+05
92.4,1.800e+05,5.116e+03,1.740e+04,2.025e+05
93.7,1.835e+05,5.392e+03,1.147e+04,2.003e+05
94.9,1.741e+05,6.786e+03,7.123e+03,1.880e+05
96.2,1.696e+05,6.428e+03,5.683e+03,1.817e+05
97.4,1.430e+05,6.114e+03,4.599e+03,1.537e+05
98.7,1.346e+05,6.701e+03,3.822e+03,1.451e+05
99.9,1.536e+05,5.808e+03,3.787e+03,1.632e+05
101.2,1.524e+05,6.159e+03,4.357e+03,1.629e+05
102.4,1.172e+05,6.095e+03,4.583e+03,1.279e+05
103.7,1.550e+05,8.105e+03,5.420e+03,1.685e+05
