freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.457e+02,6.747e+02,6.666e+03,7.586e+03
1.2,1.388e+03,3.414e+03,3.101e+04,3.581e+04
2.5,1.570e+03,3.989e+03,3.357e+04,3.913e+04
3.7,1.608e+03,3.622e+03,3.084e+04,3.607e+04
5.0,1.643e+03,3.659e+03,3.384e+04,3.914e+04
6.2,1.738e+03,3.408e+03,3.531e+04,4.046e+04
7.5,2.090e+03,3.287e+03,3.885e+04,4.422e+04
8.7,2.234e+03,3.247e+03,4.039e+04,4.587e+04
9.9,2.212e+03,3.026e+03,4.206e+04,4.730e+04
11.2,1.827e+03,3.159e+03,4.198e+04,4.697e+04
12.4,1.390e+03,3.143e+03,4.332e+04,4.786e+04
13.7,1.439e+03,3.451e+03,5.349e+04,5.838e+04
14.9,1.661e+03,3.910e+03,6.491e+04,7.048e+04
16.1,1.707e+03,3.360e+03,6.709e+04,7.216e+04
17.4,1.914e+03,3.458e+03,7.582e+04,8.119e+04
18.6,1.692e+03,3.711e+03,8.934e+04,9.474e+04
19.9,1.574e+03,4.211e+03,1.064e+05,1.122e+05
21.1,1.697e+03,4.939e+03,1.298e+05,1.365e+05
22.4,1.885e+03,4.816e+03,1.204e+05,1.271e+05
23.6,2.195e+03,5.218e+03,8.491e+04,9.232e+04
24.8,2.481e+03,5.181e+03,8.061e+04,8.827e+04
26.1,2.605e+03,5.462e+03,1.068e+05,1.149e+05
27.3,3.042e+03,5.726e+03,1.151e+05,1.239e+05
28.6,2.896e+03,6.054e+03,1.356e+05,1.445e+05
29.8,2.829e+03,7.260e+03,1.587e+05,1.687e+05
31.1,3.876e+03,7.451e+03,1.366e+05,1.479e+05
32.3,4.276e+03,7.436e+03,1.169e+05,1.286e+05
33.5,3.622e+03,7.373e+03,1.361e+05,1.471e+05
34.8,3.949e+03,7.256e+03,1.410e+05,1.522e+05
36.0,3.224e+03,7.223e+03,1.773e+05,1.877e+05
37.3,2.892e+03,7.806e+03,1.850e+05,1.957e+05
38.5,3.052e+03,8.568e+03,2.721e+05,2.837e+05
39.7,3.780e+03,1.107e+04,5.182e+05,5.330e+05
41.0,4.176e+03,1.352e+04,8.748e+05,8.925e+05
42.2,4.070e+03,1.583e+04,1.143e+06,1.163e+06
43.5,3.222e+03,1.264e+04,7.684e+05,7.843e+05
44.7,3.415e+03,1.091e+04,4.597e+05,4.740e+05
46.0,3.582e+03,9.852e+03,2.552e+05,2.686e+05
47.2,3.805e+03,9.351e+03,2.067e+05,2.198e+05
48.4,4.059e+03,9.616e+03,2.245e+05,2.382e+05
49.7,3.496e+03,9.411e+03,2.024e+05,2.153e+05
50.9,3.745e+03,1.278e+04,3.085e+05,3.250e+05
52.2,3.805e+03,1.571e+04,3.923e+05,4.119e+05
53.4,3.642e+03,1.467e+04,3.458e+05,3.641e+05
54.7,3.148e+03,1.233e+04,3.050e+05,3.204e+05
55.9,3.267e+03,1.084e+04,2.996e+05,3.137e+05
57.1,3.286e+03,9.324e+03,3.172e+05,3.298e+05
58.4,3.686e+03,9.933e+03,2.251e+05,2.387e+05
59.6,3.325e+03,9.856e+03,1.813e+05,1.945e+05
60.9,2.796e+03,8.098e+03,1.142e+05,1.251e+05
62.1,3.038e+03,8.548e+03,8.994e+04,1.015e+05
63.3,3.476e+03,1.020e+04,9.427e+04,1.079e+05
64.6,3.857e+03,1.129e+04,1.486e+05,1.637e+05
65.8,4.816e+03,1.278e+04,2.179e+05,2.355e+05
67.1,4.552e+03,1.253e+04,1.925e+05,2.096e+05
68.3,6.079e+03,1.525e+04,2.225e+05,2.438e+05
69.6,6.894e+03,1.513e+04,1.960e+05,2.180e+05
70.8,7.473e+03,1.421e+04,1.824e+05,2.041e+05
72.0,8.555e+03,1.767e+04,2.181e+05,2.443e+05
73.3,8.998e+03,1.957e+04,2.040e+05,2.325e+05
74.5,8.743e+03,1.853e+04,1.912e+05,2.184e+05
75.8,9.967e+03,1.981e+04,1.927e+05,2.225e+05
77.0,1.220e+04,2.118e+04,1.935e+05,2.269e+05
78.3,1.606e+04,2.292e+04,1.796e+05,2.186e+05
79.5,1.534e+04,2.039e+04,1.492e+05,1.849e+05
80.7,1.786e+04,2.152e+04,1.958e+05,2.351e+05
82.0,1.656e+04,2.526e+04,2.225e+05,2.644e+05
83.2,1.504e+04,2.963e+04,2.713e+05,3.160e+05
84.5,1.559e+04,3.467e+04,3.218e+05,3.720e+05
85.7,1.391e+04,3.706e+04,2.880e+05,3.389e+05
86.9,1.211e+04,4.864e+04,3.826e+05,4.434e+05
88.2,1.495e+04,6.453e+04,5.102e+05,5.897e+05
89.4,1.977e+04,6.199e+04,4.731e+05,5.549e+05
90.7,1.972e+04,4.176e+04,2.743e+05,3.357e+05
91.9,3.023e+04,5.120e+04,3.323e+05,4.138e+05
93.2,3.287e+04,5.345e+04,3.372e+05,4.235e+05
94.4,2.669e+04,4.906e+04,3.098e+05,3.855e+05
95.6,1.664e+04,5.245e+04,3.305e+05,3.996e+05
96.9,1.078e+04,4.101e+04,2.478e+05,2.996e+05
98.1,9.486e+03,3.313e+04,1.912e+05,2.338e+05
99.4,9.309e+03,3.203e+04,1.841e+05,2.254e+05
100.6,8.843e+03,3.032e+04,1.387e+05,1.778e+05
101.9,9.898e+03,2.958e+04,1.266e+05,1.661e+05
103.1,8.577e+03,2.735e+04,1.322e+05,1.681e+05
104.3,8.540e+03,2.652e+04,1.319e+05,1.669e+05
